Fecha;Descripción;N° Documento;Cargo;Abono;Saldo
01/05/2026;SALDO ANTERIOR;;;;3000000
04/05/2026;TRANSFERENCIA DE COMERCIAL ANDES SPA;4512;;1190000;4190000
06/05/2026;TRANSFERENCIA A DISTRIBUIDORA SUR LTDA;88721;892500;;3297500
11/05/2026;TRANSFERENCIA DE SERVICIOS MAIPO LTDA;4513;;595000;3892500
13/05/2026;TRANSFERENCIA A FERRETERIA CENTRAL SPA;10944;476000;;3416500
15/05/2026;COMISION MANTENCION CUENTA;;15000;;3401500
15/05/2026;IVA COMISION;;2850;;3398650
18/05/2026;TRANSFERENCIA DE INVERSIONES LIRCAY SA;4514;;833000;4231650
20/05/2026;TRANSFERENCIA A TRANSPORTES VALLE LTDA;2201;238000;;3993650
26/05/2026;TRANSFERENCIA DE COMERCIAL ANDES SPA;4515;;357000;4350650
29/05/2026;PAGO NOMINA REMUNERACIONES;;240650;;4110000
31/05/2026;INTERESES GANADOS;;;8500;4118500
