Date,Description,Check No,Debit,Credit,Balance
2026-10-01,Opening balance,,,,27395.00
2026-10-01,Deposit,,,6700.00,34095.00
2026-10-02,Check,2012,5500.00,,28595.00
2026-10-02,Check,2004,1000.00,,27595.00
2026-10-03,Deposit,,,3100.00,30695.00
2026-10-03,Check,2008,650.00,,30045.00
2026-10-06,Check,2009,200.00,,29845.00
2026-10-06,Check,2013,1450.00,,28395.00
2026-10-10,Deposit,,,4750.00,33145.00
2026-10-12,Check,2014,780.00,,32365.00
2026-10-17,Deposit,,,2600.00,34965.00
2026-10-19,Check,2015,2200.00,,32765.00
2026-10-24,Deposit,,,5300.00,38065.00
2026-10-26,Check,2016,1050.00,,37015.00
2026-10-31,Service charge,,5.00,,37010.00
2026-10-31,Interest,,,4.00,37014.00
