Date,Description,Check No,Debit,Credit,Balance
2026-09-01,Opening balance,,,,20000.00
2026-09-02,Deposit,,,4200.00,24200.00
2026-09-05,Check,2001,1200.00,,23000.00
2026-09-08,Deposit,,,3850.00,26850.00
2026-09-09,Check,2002,2450.00,,24400.00
2026-09-12,Check,2003,975.00,,23425.00
2026-09-15,Deposit,,,5120.00,28545.00
2026-09-17,Check,2005,5843.00,,22702.00
2026-09-18,Check,2006,3300.00,,19402.00
2026-09-19,Returned check — NSF — J. Doe,,350.00,,19052.00
2026-09-22,Deposit,,,2980.00,22032.00
2026-09-23,Check,2007,1100.00,,20932.00
2026-09-25,Note collected — Acme Co.,,,3500.00,24432.00
2026-09-25,Collection fee,,500.00,,23932.00
2026-09-26,Deposit,,,6000.00,29932.00
2026-09-29,Check,2010,845.00,,29087.00
2026-09-30,Check,2011,1690.00,,27397.00
2026-09-30,Service charge,,5.00,,27392.00
2026-09-30,Interest,,,3.00,27395.00
