Date,Ref,Description,Deposit,Withdrawal,Balance
2026-09-01,BAL,Opening balance,,,20000.00
2026-09-02,DEP,Deposit — daily receipts,4200.00,,24200.00
2026-09-03,2001,Ridge Supply Co.,,1200.00,23000.00
2026-09-05,2002,Metro Leasing — September rent,,2450.00,20550.00
2026-09-08,DEP,Deposit — daily receipts,3850.00,,24400.00
2026-09-09,2003,Northside Utilities,,975.00,23425.00
2026-09-11,2004,Harbor Insurance,,1000.00,22425.00
2026-09-12,2005,Office Depot — equipment,,5483.00,16942.00
2026-09-15,DEP,Deposit — daily receipts,5120.00,,22062.00
2026-09-16,2006,Payroll — period ending 9/15,,3300.00,18762.00
2026-09-18,2007,Lakeside Printing,,1100.00,17662.00
2026-09-22,DEP,Deposit — daily receipts,2980.00,,20642.00
2026-09-23,2008,Crown Cleaning Services,,650.00,19992.00
2026-09-24,2009,City Parking Authority,,200.00,19792.00
2026-09-25,2010,Fairview Telecom,,845.00,18947.00
2026-09-26,DEP,Deposit — daily receipts,6000.00,,24947.00
2026-09-29,2011,Ridge Supply Co.,,1690.00,23257.00
2026-09-30,2012,Payroll — period ending 9/30,,5500.00,17757.00
2026-09-30,DEP,Deposit — daily receipts (night drop),6700.00,,24457.00
